ticker,name,description,industry,currency,exchange,type,market_cap,market_cap_usd
A,"AGILENT TECHNOLOGIES, INC.","Agilent Technologies, Inc. specializes in life sciences, diagnostics and applied markets, providing application-focused solutions that include instruments, software, services and consumables for the entire laboratory workflow. Its segments include Life Sciences and Diagnostics Markets, Agilent CrossLab and Applied Markets. Life Sciences and Diagnostics Markets segment comprises seven areas of activity. It offers active pharmaceutical ingredients for oligo-based therapeutics as well as solutions that include reagents, instruments, software and consumables. Agilent CrossLab segment offers a services and consumables portfolio that spans the entire lab, in addition to software and laboratory automation solutions, which are designed to enhance customer outcomes. Applied Markets segment offers application-focused solutions that include instruments and software that enable customers to identify, quantify and analyze the physical and biological properties of substances and products.",Healthcare Equipment & Supplies,USD,XNYS,Stock,41300338272.00,41300338272.00
AAPL,APPLE INC.,"Apple Inc. designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. Its product categories include iPhone, Mac, iPad, and Wearables, Home and Accessories. Its software platforms include iOS, iPadOS, macOS, watchOS, visionOS, and tvOS. Its services include advertising, AppleCare, cloud services, digital content and payment services. The Company operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games and podcasts. It also offers digital content through subscription-based services, including Apple Arcade, Apple Fitness+, Apple Music, Apple News+, and Apple TV+. Its products include iPhone 16 Pro, iPhone 16, iPhone 15, iPhone 14, iPhone SE, MacBook Air, MacBook Pro, iMac, Mac mini, Mac Studio, Mac Pro, iPad Pro, iPad Air, AirPods, AirPods Pro, AirPods Max, Apple TV and Apple Vision Pro.","Computers, Phones & Household Electronics",USD,XNAS,Stock,3899609280299.00,3899609280299.00
ABBV,ABBVIE INC.,"AbbVie Inc. is a global, diversified research-based biopharmaceutical company. It is engaged in research and development, manufacturing, commercialization and sale of medicines and therapies. Its product portfolio includes Immunology, Oncology, Aesthetics, Neuroscience, Eye Care and Other Key Products. Immunology products include rheumatology, dermatology and gastroenterology. Oncology products include Imbruvica, Venclexta/Venclyxto, Elahere and Epkinly. Aesthetics portfolio consists of facial injectables, plastics and regenerative medicine, body contouring, and skincare products. Its Neuroscience products include Botox Therapeutic, Vraylar, Duopa and Duodopa, Ubrelvy, and Qulipta. Eye Care products include Ozurdex, Lumigan/Ganfort, Alphagan/Combigan, Restasis, and other eye care. Other key products include Mavyret/Maviret, Creon, and Linzess/Constella. Its investigational candidate, bretisilocin, is for the treatment of patients with moderate-to-severe major depressive disorder (MDD).",Pharmaceuticals,USD,XNYS,Stock,408675527720.00,408675527720.00
ABNB,"AIRBNB, INC.","Airbnb, Inc. operates a global platform for stays and experiences. The Company’s marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences around the world. The Company has built its platform to onboard new hosts, especially those who previously had not considered hosting. It partners with hosts throughout the process of setting up their listing and provides them with a suite of tools to manage their listings, including scheduling, merchandising, integrated payments, community support, host protection, pricing guidance, and feedback from reviews. Its Website and mobile applications provide its guests with a way to explore a variety of homes and experiences and an easy way to book them. Its technology platform powers its two-sided marketplace and enables its global network of hosts and guests. It owns a trademark portfolio with protection in 220 countries in which it operates for its primary brands, AIRBNB, and its Belo logo.",Software & IT Services,USD,XNAS,Stock,79891773592.00,79891773592.00
ACGL,ARCH CAPITAL GROUP LTD.,"Arch Capital Group Ltd. is a Bermuda-based company, which provides insurance, reinsurance, and mortgage insurance through its subsidiaries. The insurance segment consists of the Company’s insurance underwriting units, which offer specialty product lines, including construction and national accounts; excess and surplus casualty; professional lines; programs; property, energy, marine and aviation; travel, accident and health; warranty and lender solutions, and others (consisting of alternative markets, excess workers' compensation and surety business). The reinsurance segment consists of its reinsurance underwriting units, which offer specialty product lines, including casualty; marine and aviation; other specialty; property catastrophe; property excluding property catastrophe, and others (consisting of life reinsurance and other). The mortgage segment includes its United States primary mortgage insurance business, investment and services related to United States credit-risk transfer.",Insurance,USD,XNAS,Stock,32731420310.00,32731420310.00
ACN,ACCENTURE PUBLIC LIMITED COMPANY,"Accenture plc is a global professional services company. It is engaged in providing a range of services and solutions across strategy and consulting, technology, operations, Industry X and Song. Its services include application services, artificial intelligence, automation, business process outsourcing, business strategy, change management, cloud, customer experience, data and analytics, ecosystem partners, finance consulting, Industry X, infrastructure, marketing, mergers and acquisitions, operating models, security, supply chain management, sustainability, technology consulting, technology innovation, and zero-based budgeting (ZBB). It specializes in the SAP business technology platform that designs digital products and experiences for enterprise customers, including custom portals and Web solutions and mobile applications. It provides clients with quantitative and qualitative risk management and compliance services. It specializes in advisory, management services and cybersecurity.",Software & IT Services,USD,XNYS,Stock,155397506256.00,155397506256.00
ADBE,ADOBE INC.,"Adobe Inc. is a global technology company. The Company's products, services and solutions are used around the world to imagine, create, manage, deliver, measure, optimize and engage with content across surfaces and fuel digital experiences. Its segments include Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment is centered around Adobe Creative Cloud and Adobe Document Cloud, which include Adobe Express, Adobe Firefly, Photoshop and other products, offering a variety of tools for creative professionals, communicators and other consumers. The Digital Experience segment provides an integrated platform and set of products, services and solutions through Adobe Experience Cloud. The Publishing and Advertising segment contains legacy products and services. In addition, its Adobe GenStudio solution allows businesses to simplify their content supply chain process with generative artificial intelligence (AI) capabilities and intelligent automation.",Software & IT Services,USD,XNAS,Stock,149670430000.00,149670430000.00
ADI,"ANALOG DEVICES, INC.","Analog Devices, Inc. is a global semiconductor company. The Company designs, manufactures, tests, and markets a portfolio of solutions, including integrated circuits (ICs), software and subsystems that leverage high-performance analog, mixed-signal and digital signal processing technologies. Its comprehensive product portfolio, domain specialization and manufacturing capabilities extend across high-performance precision and high-speed mixed-signal, power management and processing technologies, including data converters, amplifiers, power management, radio frequency (RF) ICs, edge processors and other sensors. The Company's IC product portfolio includes both general-purpose products used by a range of customers and applications, as well as application-specific products designed for specific target markets. Its analog ICs monitor, condition, amplify or transform continuous analog signals associated with physical properties, such as temperature, pressure, weight, light, sound or motion.",Semiconductors & Semiconductor Equipment,USD,XNAS,Stock,121203051898.00,121203051898.00
ADM,ARCHER-DANIELS-MIDLAND COMPANY.,"Archer-Daniels-Midland Company is a global agricultural supply chain manager and processor, providing food security by connecting local needs with global capabilities. It is a human and animal nutrition provider. Its Ag Services and Oilseeds segment includes global activities related to the origination, merchandising, transportation, and storage of agricultural raw materials, and the crushing and further processing of oilseeds, such as soybeans and soft seeds into vegetable oils and protein meals. Carbohydrate Solutions segment is engaged in corn and wheat wet and dry milling and other activities. Nutrition segment is engaged in the creation, manufacturing, sale, and distribution of a wide array of ingredients and solutions, including plant-based proteins, flavors and colors derived from nature, flavor systems, emulsifiers, soluble fiber, polyols, hydrocolloids, probiotics, prebiotics, postbiotics, enzymes, botanical extracts, and other specialty food and feed ingredients and systems.",Food & Tobacco,USD,XNYS,Stock,29654268940.00,29654268940.00
ADSK,"AUTODESK, INC.","Autodesk, Inc. is engaged in three-dimensional (3D) design, engineering and entertainment technology solutions, spanning architecture, engineering, construction, product design, manufacturing, media and entertainment. Its architecture, engineering, construction and operations products improve the way building, infrastructure, and industrial projects are designed, built, and operated. Its product development and manufacturing software provides manufacturers in the automotive, transportation, industrial machinery, consumer products, and building product industries with comprehensive digital design, engineering, manufacturing, and production solutions. Its product offerings include AutoCAD Civil 3D, Autodesk Build, BIM Collaborate Pro, Revit, Tandem, AutoCAD, AutoCAD LT, Inventor, Vault, Maya, and 3ds Max. AutoCAD Civil 3D solution offers a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects.",Software & IT Services,USD,XNAS,Stock,66151410000.00,66151410000.00
